Frame	Grasper	Bipolar	Hook	Scissors	Clipper	Irrigator	SpecimenBag
0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0
125	0	0	0	0	0	0	0
150	0	0	0	0	0	0	0
175	0	0	0	0	0	0	0
200	1	0	0	0	0	0	0
225	1	0	0	0	0	0	0
250	1	0	0	0	0	0	0
275	1	0	0	0	0	0	0
300	1	0	0	0	0	0	0
325	1	0	0	0	0	0	0
350	0	0	0	0	0	0	0
375	0	0	0	0	0	0	0
400	0	0	0	0	0	0	0
425	0	0	0	0	0	0	0
450	0	0	0	0	0	0	0
475	0	0	0	0	0	0	0
500	0	0	0	0	0	0	0
525	0	0	0	0	0	0	0
550	0	0	0	0	0	0	0
575	0	0	0	0	0	0	0
600	0	0	0	0	0	0	0
625	0	0	0	0	0	0	0
650	0	0	0	0	0	0	0
675	0	0	0	0	0	0	0
700	0	0	0	0	0	0	0
725	0	0	0	0	0	0	0
750	0	0	0	0	0	0	0
775	0	0	0	0	0	0	0
800	0	0	0	0	0	0	0
825	0	0	0	0	0	0	0
850	0	0	0	0	0	0	0
875	0	0	0	0	0	0	0
900	0	0	0	0	0	0	0
925	0	0	0	0	0	0	0
950	0	0	0	0	0	0	0
975	0	0	0	0	0	0	0
1000	0	0	0	0	0	0	0
1025	0	0	0	0	0	0	0
1050	0	0	0	0	0	0	0
1075	0	0	0	0	0	0	0
1100	0	0	0	0	0	0	0
1125	0	0	0	0	0	0	0
1150	0	0	0	0	0	0	0
1175	0	0	0	0	0	0	0
1200	0	0	0	0	0	0	0
1225	0	0	0	0	0	0	0
1250	0	0	0	0	0	0	0
1275	0	0	0	0	0	0	0
1300	0	0	0	0	0	0	0
1325	0	0	0	0	0	0	0
1350	0	0	0	0	0	0	0
1375	0	0	0	0	0	0	0
1400	0	0	0	0	0	0	0
1425	0	0	0	0	0	0	0
1450	0	0	0	0	0	0	0
1475	0	0	0	0	0	0	0
1500	0	0	0	0	0	0	0
1525	0	0	0	0	0	0	0
1550	0	0	0	0	0	0	0
1575	0	0	0	0	0	0	0
1600	0	0	0	0	0	0	0
1625	0	0	0	0	0	0	0
1650	0	0	0	0	0	0	0
1675	0	0	0	0	0	0	0
1700	0	0	0	0	0	0	0
1725	0	0	0	0	0	0	0
1750	0	0	0	0	0	0	0
1775	0	0	0	0	0	0	0
1800	0	0	0	0	0	0	0
1825	0	0	0	0	0	0	0
1850	0	0	0	0	0	0	0
1875	0	0	0	0	0	0	0
1900	0	0	0	0	0	0	0
1925	0	0	0	0	0	0	0
1950	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0
2025	0	0	0	0	0	0	0
2050	0	0	0	0	0	0	0
2075	0	0	0	0	0	0	0
2100	0	0	0	0	0	0	0
2125	0	0	0	0	0	0	0
2150	0	0	0	0	0	0	0
2175	0	0	0	0	0	0	0
